customerID,Gender,SeniorCitizen,Partner,Dependents,Tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,AvgMonthlyCharges,MonthlyChargesToTotalChargesRatio
7590-VHVEG,Female,No,Yes,No,1,No,,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,29.850000381469727,29.850000381469727,No,29.850000381469727,1.0
5575-GNVDE,Male,No,No,No,34,Yes,No,DSL,Yes,No,Yes,No,No,No,One year,No,Mailed check,56.95000076293945,1889.5,No,55.5735294117647,0.030140249146832207
3668-QPYBK,Male,No,No,No,2,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,53.849998474121094,108.1500015258789,Yes,54.07500076293945,0.49791953503796743
7795-CFOCW,Male,No,No,No,45,No,,DSL,Yes,No,Yes,Yes,No,No,One year,No,Bank transfer (automatic),42.29999923706055,1840.75,No,40.90555555555556,0.022979763268809208
9237-HQITU,Female,No,No,No,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.69999694824219,151.64999389648438,Yes,75.82499694824219,0.46620507612088463
9305-CDSKC,Female,No,No,No,8,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.6500015258789,820.5,Yes,102.5625,0.12145033702118087
1452-KIOVK,Male,No,No,Yes,22,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),89.0999984741211,1949.4000244140625,No,88.60909201882102,0.04570636983597154
6713-OKOMC,Female,No,No,No,10,No,,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,29.75,301.8999938964844,No,30.189999389648438,0.09854256575507152
7892-POOKP,Female,No,Yes,No,28,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,104.80000305175781,3046.050048828125,Yes,108.78750174386161,0.03440521375939848
6388-TABGU,Male,No,No,Yes,62,Yes,No,DSL,Yes,Yes,No,No,No,No,One year,No,Bank transfer (automatic),56.150001525878906,3487.949951171875,No,56.257257276965724,0.016098281888194448
9763-GRSKD,Male,No,Yes,Yes,13,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,49.95000076293945,587.4500122070312,No,45.18846247746394,0.0850285125968061
7469-LKBCI,Male,No,No,No,16,Yes,No,No,,,,,,,Two year,No,Credit card (automatic),18.950000762939453,326.79998779296875,No,20.424999237060547,0.05798654060827101
8091-TTVAX,Male,No,Yes,No,58,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,No,Credit card (automatic),100.3499984741211,5681.10009765625,No,97.95000168372844,0.017663832136230215
0280-XJGEX,Male,No,No,No,49,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.69999694824219,5036.2998046875,Yes,102.78162866709184,0.020590513069083806
5129-JLPIS,Male,No,No,No,25,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,105.5,2686.050048828125,No,107.442001953125,0.039277004553964934
3655-SNQYZ,Female,No,Yes,Yes,69,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),113.25,7895.14990234375,No,114.42246235280797,0.014344249495045137
8191-XWSZG,Female,No,No,No,52,Yes,No,No,,,,,,,One year,No,Mailed check,20.649999618530273,1022.9500122070312,No,19.672115619365986,0.02018671427939823
9959-WOFKT,Male,No,No,Yes,71,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),106.69999694824219,7382.25,No,103.97535211267606,0.014453587584847735
4190-MFLUW,Female,No,Yes,Yes,10,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),55.20000076293945,528.3499755859375,Yes,52.83499755859375,0.10447620576062851
4183-MYFRB,Female,No,No,No,21,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,90.05000305175781,1862.9000244140625,No,88.70952497209821,0.048338612846430776
8779-QRDMV,Male,Yes,No,No,1,No,,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,39.650001525878906,39.650001525878906,Yes,39.650001525878906,1.0
1680-VDCWW,Male,No,Yes,No,12,Yes,No,No,,,,,,,One year,No,Bank transfer (automatic),19.799999237060547,202.25,No,16.854166666666668,0.0978986365244032
1066-JKSGK,Male,No,No,No,1,Yes,No,No,,,,,,,Month-to-month,No,Mailed check,20.149999618530273,20.149999618530273,Yes,20.149999618530273,1.0
3638-WEABW,Female,No,Yes,No,58,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Two year,Yes,Credit card (automatic),59.900001525878906,3505.10009765625,No,60.4327603044181,0.0170893839995988
6322-HRPFA,Male,No,Yes,Yes,49,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),59.599998474121094,2970.300048828125,No,60.61836834343112,0.020065312424458644
6865-JZNKO,Female,No,No,No,30,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),55.29999923706055,1530.5999755859375,No,51.019999186197914,0.03612962244814544
6467-CHFZW,Male,No,Yes,Yes,47,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.3499984741211,4749.14990234375,Yes,101.04574260305851,0.020919533077928522
8665-UTDHZ,Male,No,Yes,Yes,1,No,,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,30.200000762939453,30.200000762939453,Yes,30.200000762939453,1.0
5248-YGIJN,Male,No,Yes,No,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),90.25,6369.4501953125,No,88.46458604600694,0.014169197847942686
8773-HHUOZ,Female,No,No,Yes,17,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,64.69999694824219,1093.0999755859375,Yes,64.29999856387867,0.05918945969563384
3841-NFECX,Female,Yes,Yes,No,71,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),96.3499984741211,6766.9501953125,No,95.30915768045774,0.014238319433895526
4929-XIHVW,Male,Yes,Yes,No,2,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),95.5,181.64999389648438,No,90.82499694824219,0.5257363237480862
6827-IEAUQ,Female,No,Yes,Yes,27,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,One year,No,Mailed check,66.1500015258789,1874.449951171875,No,69.424072265625,0.03529035356986887
7310-EGVHZ,Male,No,No,No,1,Yes,No,No,,,,,,,Month-to-month,No,Bank transfer (automatic),20.200000762939453,20.200000762939453,No,20.200000762939453,1.0
3413-BMNZE,Male,Yes,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),45.25,45.25,No,45.25,1.0
6234-RAAPL,Female,No,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,No,Bank transfer (automatic),99.9000015258789,7251.7001953125,No,100.71805826822917,0.013776079930945612
6047-YHPVI,Male,No,No,No,5,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.69999694824219,316.8999938964844,Yes,63.379998779296876,0.21994319435364124
6572-ADKRS,Female,No,No,No,46,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),74.80000305175781,3548.300048828125,No,77.13695758322011,0.02108051800085552
5380-WJKOV,Male,No,No,No,34,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.3499984741211,3549.25,Yes,104.38970588235294,0.02996407648774279
8168-UQWWF,Female,No,No,No,11,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),97.8499984741211,1105.4000244140625,Yes,100.49091131036931,0.08851998942734625
8865-TNMNX,Male,No,Yes,Yes,10,Yes,No,DSL,No,Yes,No,No,No,No,One year,No,Mailed check,49.54999923706055,475.70001220703125,No,47.570001220703126,0.10416228287901683
9489-DEDVP,Female,No,Yes,Yes,70,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Two year,Yes,Credit card (automatic),69.19999694824219,4872.35009765625,No,69.60500139508929,0.014202591267308462
9867-JCZSP,Female,No,Yes,Yes,17,Yes,No,No,,,,,,,One year,No,Mailed check,20.75,418.25,No,24.602941176470587,0.049611476389719064
4671-VJLCL,Female,No,No,No,63,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),79.8499984741211,4861.4501953125,No,77.16587611607143,0.016425139673571877
4080-IIARD,Female,No,Yes,No,13,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,76.19999694824219,981.4500122070312,No,75.49615478515625,0.07764022212082691
3714-NTNFO,Female,No,No,No,49,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,84.5,3906.699951171875,No,79.72857043207908,0.021629508550983785
5948-UJZLF,Male,No,No,No,2,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,49.25,97.0,No,48.5,0.5077319587628866
7760-OYPDY,Female,No,No,No,2,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.6500015258789,144.14999389648438,Yes,72.07499694824219,0.5594866801298273
7639-LIAYI,Male,No,No,No,52,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),79.75,4217.7998046875,No,81.11153470552884,0.018907962372080565
2954-PIBKO,Female,No,Yes,Yes,69,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),64.1500015258789,4254.10009765625,No,61.653624603713766,0.01507957030941083
8012-SOUDQ,Female,Yes,No,No,43,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,90.25,3838.75,No,89.27325581395348,0.023510257245197005
9420-LOJKX,Female,No,No,No,15,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.0999984741211,1426.4000244140625,Yes,95.0933349609375,0.06947560065755709
